Fecha	Hombres	Mujeres	Población	Población rural
1985	3187147	3198483	6068000	49.48
1986	3256758	3265226	6195000	48.47
1987	3327883	3333551	6324000	47.45
1988	3400530	3403543	6456000	46.44
1989	3474310	3474829	6591000	45.43
1990	3549041	3547153	6728000	44.42
1991	3624585	3620306	6869000	43.42
1992	3700608	3693811	7012000	42.46
1993	3779539	3764950	7213000	41.92
1994	3860430	3833292	7419000	41.39
1995	3940256	3901215	7567000	40.85
1996	4019794	3969573	7717000	40.32
1997	4099171	4038449	7871000	39.79
1998	4178700	4108227	8026000	39.26
1999	4259118	4179935	8183000	38.74
2000	4339846	4252810	8430000	38.21
2001	4418319	4327765	8590000	37.69
2002	4495206	4405377	8750000	37.22
2003	4573038	4484341	8910000	36.75
2004	4651928	4564350	9070000	36.29
2005	4731985	4645403	9230000	35.83
2006	4814077	4728586	9390000	35.37
2007	4897753	4813399	9550000	34.92
2008	4981806	4898788	9710000	34.47
2009	5066350	4984968	9870000	34.02
2010	5151373	5071897	10030000	33.57
2011	5236810	5159435	10190000	33.13
2012	5322361	5247336	10350000	32.69
2013	5407879	5335470	10510000	32.30
2014	5493370	5423617	10670000	31.95
2015	5578609	5511477	10830000	31.61
2016	5663718	5599297	10990000	31.26
2017	5748534	5686999	11150000	30.92
