Fecha	Hombres	Mujeres	Población	Población rural
1985	68072012	68711168	134858000	30.14
1986	69484466	70158889	137592000	29.30
1987	70876452	71589812	140264000	28.47
1988	72249586	73004388	142870000	27.66
1989	73603042	74400370	145413000	26.86
1990	74926452	75779994	146466000	26.08
1991	76207261	77129183	146917000	25.31
1992	77454942	78445848	149335000	24.56
1993	78689973	79750902	151738000	23.82
1994	79924696	81055777	154147000	23.10
1995	81155182	82360145	156556000	22.39
1996	82377561	83659561	161151000	21.70
1997	83593268	84953439	163679000	20.95
1998	84799768	86240036	166230000	20.22
1999	85981420	87504861	168079000	19.50
2000	87124330	88749390	169591000	18.81
2001	88233218	89978663	171975000	18.45
2002	89303580	91173105	174210000	18.12
2003	90318606	92310671	176366000	17.80
2004	91303580	93418462	178471000	17.48
2005	92281701	94515633	180546000	17.17
2006	93237364	95583318	182567000	16.86
2007	94163019	96616434	184496000	16.55
2008	95059746	97612571	186420000	16.25
2009	95935867	98581682	188588000	15.96
2010	96806825	99546667	190756000	15.67
2011	97676016	100509285	191765000	15.37
2012	98526889	101450818	192763000	15.08
2013	99355387	102366379	193826000	14.79
2014	100185186	103274465	194906000	14.51
2015	101008689	104179515	196019000	14.23
2016	101794390	105065188	197051000	13.96
2017	102567011	105937948	198042000	13.69
