Fecha	Hombres	Mujeres	Población	Población rural
1985	6132837	6193559	12102000	17.38
1986	6225400	6289102	12317000	17.25
1987	6324042	6388742	12533000	17.12
1988	6426615	6491774	12748000	16.99
1989	6530854	6597765	12963000	16.86
1990	6636684	6706184	13179000	16.73
1991	6744934	6817011	13422000	16.60
1992	6854273	6928025	13737000	16.44
1993	6961685	7036702	13957000	16.10
1994	7066850	7143824	14172000	15.78
1995	7168506	7248291	14381000	15.46
1996	7266190	7349292	14585000	15.14
1997	7361319	7447971	14783000	14.83
1998	7453481	7543261	14975000	14.52
1999	7541838	7634572	15162000	14.22
2000	7627655	7724143	15343000	13.93
2001	7711571	7812408	15520000	13.64
2002	7794228	7899562	15692000	13.39
2003	7874834	7984277	15857000	13.34
2004	7952250	8065716	16022000	13.28
2005	8028913	8146398	16183000	13.22
2006	8107283	8227292	16348000	13.16
2007	8186994	8308544	16518000	13.10
2008	8268938	8392523	16698000	13.04
2009	8353799	8479648	16881000	12.98
2010	8437983	8566180	17064000	12.93
2011	8521805	8651769	17254000	12.87
2012	8605184	8736586	17443000	12.81
2013	8688160	8821764	17612000	12.75
2014	8775549	8911559	17788000	12.70
2015	8865948	9004176	17971000	12.64
2016	8971935	9111944	18167000	12.58
2017	9114379	9254199	18419000	12.51
