Fecha	Hombres	Mujeres	Población	Población rural
1985	14679273	14646986	29921000	32.97
1986	14993112	14966988	30541000	32.43
1987	15309275	15293772	31181000	31.95
1988	15628778	15627949	31834000	31.47
1989	15952865	15970252	32494000	30.99
1990	16281573	16319819	33156000	30.52
1991	16605752	16666875	33845000	30.05
1992	16926884	17012155	34522000	29.59
1993	17252549	17362186	35181000	29.13
1994	17580991	17714470	35817000	28.67
1995	17906602	18063500	36426000	28.22
1996	18226168	18406405	37019000	27.78
1997	18544061	18747884	37505000	27.34
1998	18858347	19086068	38088000	26.90
1999	19166664	19418369	38573000	26.47
2000	19469885	19745251	39152000	26.04
2001	19769644	20068231	39656000	25.62
2002	20066543	20387506	40156000	25.20
2003	20357979	20699708	40661000	24.79
2004	20643488	21004780	41166000	24.38
2005	20920388	21300552	41672000	23.98
2006	21186610	21586300	42170000	23.58
2007	21442913	21863668	42659000	23.18
2008	21686623	22128690	43134000	22.80
2009	21925966	22387951	43609000	22.41
2010	22167933	22648175	44086000	22.04
2011	22405198	22903701	44553000	21.67
2012	22632420	23149997	45002000	21.30
2013	22850386	23387544	45435000	20.94
2014	23060580	23617367	45866000	20.59
2015	23272374	23847355	46314000	20.24
2016	23517966	24107989	46830000	19.89
2017	23874571	24477100	47419000	19.55
