Fecha	Hombres	Mujeres	Población	Población rural
1985	4641873	4612439	9211000	48.79
1986	4759944	4730153	9451000	48.01
1987	4879594	4849782	9691000	47.23
1988	4999645	4970143	9944000	46.45
1989	5119573	5090613	10189000	45.68
1990	5239060	5210778	10430000	44.91
1991	5356901	5329377	10671000	44.29
1992	5470462	5443760	10912000	43.77
1993	5579330	5553499	11150000	43.26
1994	5686302	5661350	11380000	42.75
1995	5792883	5768799	11598000	42.23
1996	5899241	5875980	11798000	41.72
1997	6005171	5982667	11987000	41.22
1998	6110733	6088961	12168000	40.71
1999	6216530	6195516	12347000	40.20
2000	6323386	6303121	12531000	39.70
2001	6432559	6412962	12815000	39.20
2002	6544813	6525796	13094000	38.88
2003	6659818	6641367	13320000	38.68
2004	6776204	6758388	13552000	38.49
2005	6893501	6876511	13721000	38.29
2006	7012450	6996611	13965000	38.09
2007	7133070	7118765	14215000	37.90
2008	7254593	7242204	14473000	37.70
2009	7376503	7366263	14738000	37.51
2010	7498852	7490733	15012000	37.31
2011	7622056	7615672	15266000	37.15
2012	7744557	7739326	15521000	37.01
2013	7863795	7859194	15775000	36.88
2014	7981215	7976779	16027000	36.74
2015	8100227	8095675	16279000	36.60
2016	8222126	8217460	16529000	36.47
2017	8350700	8346245	16777000	36.33
