Fecha	Hombres	Mujeres	Población	Población rural
1985	383082	389589	754000	69.97
1986	380910	387598	748000	70.06
1987	378407	385298	742000	70.15
1988	375663	382786	735000	70.24
1989	372752	380144	726000	70.33
1990	369694	377423	720000	70.42
1991	368058	376038	718000	70.51
1992	368670	376329	718000	70.60
1993	370139	377050	720000	70.69
1994	371689	377857	723000	70.77
1995	373128	378561	727000	70.86
1996	374420	379151	730000	70.95
1997	375563	379647	734000	71.04
1998	376625	380072	737000	71.13
1999	377625	380389	740000	71.22
2000	378495	380557	742000	71.31
2001	379218	380591	743000	71.39
2002	379813	380510	743000	71.48
2003	379988	380574	743000	71.69
2004	379674	380750	742000	71.94
2005	379057	380652	742000	72.18
2006	378137	380230	744000	72.42
2007	376976	379546	746000	72.66
2008	375558	378592	748000	72.90
2009	373882	377375	751000	73.13
2010	371984	375947	753000	73.37
2011	369890	374340	756000	73.60
2012	369501	374465	758000	73.60
2013	370411	377010	761000	73.60
2014	370931	380184	764000	73.59
2015	371621	383410	767000	73.56
2016	372409	386678	773000	73.52
2017	373282	389970	778000	73.46
