Fecha	Hombres	Mujeres	Población	Población rural
1985	1786467	1749031	3652000	55.02
1986	1837604	1798423	3767000	54.28
1987	1889985	1849066	3887000	53.54
1988	1943547	1900890	4010000	52.79
1989	1997833	1953455	4138000	52.05
1990	2052617	2006578	4138000	51.31
1991	2107809	2060188	4406000	50.56
1992	2163065	2113986	4496000	49.81
1993	2218285	2167916	4588000	49.16
1994	2273399	2221903	4681000	48.51
1995	2328184	2275733	4777000	47.87
1996	2382421	2329234	4874000	47.23
1997	2436036	2382253	4974000	46.59
1998	2488820	2434630	5075000	45.95
1999	2540168	2485863	5179000	45.31
2000	2589005	2534814	5284000	44.67
2001	2632691	2578849	5385000	44.03
2002	2669782	2616730	5485000	43.40
2003	2702423	2650831	5583000	43.02
2004	2733019	2683305	5682000	42.70
2005	2762367	2714511	5780000	42.37
2006	2790367	2744307	5877000	42.04
2007	2817256	2772888	5975000	41.71
2008	2843994	2801155	6072000	41.39
2009	2872003	2830572	6169000	41.06
2010	2904393	2864220	6266000	40.74
2011	2941517	2902421	6363000	40.42
2012	2980731	2942591	6461000	40.09
2013	3021458	2984194	6559000	39.80
2014	3063559	3027162	6657000	39.53
2015	3106699	3071251	6756000	39.25
2016	3150499	3116116	6855000	38.97
2017	3194330	3161074	6954000	38.70
