Fecha	Hombres	Mujeres	Población	Población rural
1985	9864692	9881918	19526000	33.14
1986	10091736	10116701	19973000	32.72
1987	10319579	10351781	20425000	32.31
1988	10552381	10591417	20878000	31.91
1989	10789246	10835065	21326000	31.50
1990	11028476	11080623	21765000	31.10
1991	11262762	11320245	22204000	30.70
1992	11492270	11554978	22640000	30.30
1993	11723006	11790876	23073000	29.91
1994	11956534	12026724	23501974	29.48
1995	12189353	12259703	24242600	29.05
1996	12418047	12489256	24689213	28.62
1997	12646350	12719037	25145317	28.20
1998	12871958	12946269	25592876	27.78
1999	13088603	13163636	26013829	27.37
2000	13290367	13364073	26390142	26.96
2001	13472595	13542313	26714547	26.55
2002	13635757	13698746	26999085	26.15
2003	13784608	13838734	27254632	25.75
2004	13925077	13968835	27492091	25.36
2005	14057586	14089681	27722342	24.97
2006	14180761	14200318	27934784	24.58
2007	14296701	14303686	28122158	24.20
2008	14388026	14418159	28300372	23.95
2009	14461087	14548239	28485319	23.76
2010	14545483	14684090	28692915	23.57
2011	14647747	14829974	28905725	23.38
2012	14765435	14984154	29113162	23.20
2013	14894870	15143939	29341346	23.01
2014	15041702	15312249	29616414	22.83
2015	15215665	15496198	29964499	22.64
2016	15428091	15704688	30422831	22.46
2017	15666065	15939422	30973992	22.28
