Fecha	Hombres	Mujeres	Población	Población rural
1985	193207	193964	387171	34.67
1986	195735	196637	392372	34.59
1987	197898	198969	396867	34.52
1988	200455	201685	402139	34.44
1989	203501	204858	408360	34.37
1990	205650	207106	408000	34.29
1991	207218	208763	414000	34.22
1992	208941	210579	419000	34.15
1993	210326	212049	426000	34.07
1994	212373	214175	431000	34.00
1995	216548	217941	437000	33.92
1996	221658	222177	442000	33.85
1997	226598	226288	449000	33.78
1998	231434	230315	454000	33.70
1999	236184	234274	461000	33.63
2000	240845	238153	467000	33.56
2001	245436	241957	474000	33.48
2002	249959	245707	479000	33.41
2003	254376	249404	484000	33.34
2004	257822	252750	493000	33.26
2005	260410	255810	499000	33.32
2006	263086	258937	504000	33.39
2007	265833	262113	510000	33.45
2008	268623	265315	517000	33.52
2009	271450	268537	524000	33.59
2010	274293	271788	531000	33.66
2011	277111	275035	540000	33.72
2012	279884	278227	542000	33.79
2013	282602	281345	550000	33.86
2014	285276	284406	559000	33.91
2015	287993	287483	567000	33.94
2016	290757	290695	576000	33.96
2017	293536	294024	583000	33.96
