Fecha	Hombres	Mujeres	Población	Población rural
1985	1481140	1543078	3035000	12.81
1986	1488443	1552762	3053000	12.44
1987	1495881	1562906	3070000	12.07
1988	1504053	1573706	3088000	11.72
1989	1512812	1585076	3105000	11.37
1990	1521058	1595955	3122000	11.03
1991	1528920	1606454	3140000	10.70
1992	1536776	1616956	3159000	10.37
1993	1544448	1627299	3178000	10.06
1994	1552203	1637742	3208000	9.76
1995	1560015	1648285	3228000	9.46
1996	1567812	1658822	3248000	9.17
1997	1575662	1669407	3286000	8.85
1998	1583085	1679598	3312000	8.55
1999	1589828	1689136	3336000	8.26
2000	1594941	1697283	3349000	7.97
2001	1597570	1703369	3351000	7.70
2002	1598457	1707985	3347000	7.43
2003	1598485	1711718	3338000	7.17
2004	1598595	1715206	3341000	6.92
2005	1599620	1718045	3352000	6.68
2006	1601733	1720550	3358000	6.45
2007	1604827	1723823	3359000	6.22
2008	1608578	1727547	3363000	6.00
2009	1612678	1731478	3378000	5.79
2010	1617051	1735600	3397000	5.59
2011	1621715	1739923	3413000	5.39
2012	1626686	1744447	3426000	5.26
2013	1631988	1749192	3440000	5.16
2014	1637581	1754081	3454000	5.06
2015	1643631	1759187	3467000	4.96
2016	1649718	1764048	3413766	4.86
2017	1654653	1767547	3422200	4.76
