Fecha	Hombres	Mujeres	Población	Población rural
1985	8723987	8678317	17241000	18.08
1986	8953588	8907283	17450000	17.58
1987	9187961	9140693	17888000	17.10
1988	9424454	9376316	18336000	16.63
1989	9661977	9613316	18784000	16.17
1990	9900476	9850103	19411000	15.72
1991	10139923	10086291	19879000	15.34
1992	10378792	10321668	20347000	14.99
1993	10616013	10556087	20815000	14.65
1994	10850830	10790003	21283000	14.31
1995	11084141	11023144	21751000	13.99
1996	11316984	11255127	22219000	13.66
1997	11550159	11487401	22676000	13.35
1998	11783049	11720770	23130000	13.04
1999	12013718	11953242	23593000	12.74
2000	12241951	12185778	24394000	12.44
2001	12463799	12416404	24803000	12.15
2002	12684667	12646261	25212000	12.12
2003	12905924	12876104	25622000	12.10
2004	13123521	13103406	26033000	12.07
2005	13339531	13329254	26445000	12.05
2006	13550091	13551989	26858000	12.02
2007	13754221	13770877	27273000	11.99
2008	13949599	13984235	27689000	11.97
2009	14136940	14190951	28106000	11.94
2010	14321888	14393135	28524000	11.92
2011	14504605	14591553	29096159	11.89
2012	14683454	14786972	29470426	11.88
2013	14859050	14978971	29838021	11.87
2014	15028756	15164502	30193258	11.86
2015	15188587	15341129	30529716	11.85
2016	15283987	15457477	30741464	11.84
2017	15183770	15379664	30563433	11.82
